file_idx,tmp_idx,date,time [m],is forecast,flux [L/m^2h],flux at 20° [L/m^2h],d/dt flux at 20°,flux at 20° min [L/m^2h],res tot est [1/m],res tot est at 20° [1/m],TMP est [kPa],increased TMP,decreased TMP,viscosity permeate [Pa s],k(n=0),k(n=1),k(n=1.5),k(n=2),is flux at 20° steady,initial feed concentration [g/L],initial retentate concentration [g/L],initial permeate concentration [g/L],"is TMP in [-inf, 100)","is TMP in [100, 200)","is TMP in [200, 300)","is TMP in [300, 400)","is TMP in [400, inf)"
0,0,2023-11-08,37.0,0.0,491.6787878787879,530.5211513727977,0.6611660016548058,516.5559719889008,2722139910516.9507,2727599344501.7646,402.5996756864811,0.0,0.0,0.0010828891597362,-1.682126248156383e-07,-8.924035539263288e-05,-0.0020554771010414,-0.0473438960918172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,38.0,0.0,492.8848484848485,529.0701654214334,-1.4509859513642596,516.5559719889008,2723958814815.89,2735079842531.1133,402.5996756864811,0.0,0.0,0.0010795180705971,4.1422260899303146e-07,0.0002191528242612,0.0050408492284523,0.115947220984469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,39.0,0.0,494.4191919191919,529.1008826757748,0.0307172543413116,516.5559719889008,2724011954454.888,2734921055906.639,402.5996756864811,0.0,0.0,0.0010761469814581,-8.746571444176872e-09,-4.627818671500709e-06,-0.0001064499782374,-0.0024485829439544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,40.0,0.0,494.5282828282828,528.3391232309338,-0.7617594448410046,516.5559719889008,2731969090846.334,2738864265586.988,402.5996756864811,0.0,0.0,0.001072775892319,2.315958928199204e-07,0.0001223611709563,0.0028125484335753,0.0646481937805947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,41.0,0.0,496.1727272727273,528.0001302357869,-0.3389929951468957,516.5559719889008,2731498095323.869,2740622704169.7163,402.5996756864811,0.0,0.0,0.0010694048031799,1.0625241512036737e-07,5.610128902142083e-05,0.0012891096363253,0.0296214879097057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,42.0,0.0,497.159595959596,527.3506160531209,-0.6495141826659392,516.5559719889008,2734696629135.179,2743998206656.121,402.5996756864811,0.0,0.0,0.0010660337140409,2.163622038801963e-07,0.0001140987415068,0.0026201767165156,0.0601700416245139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,43.0,0.0,497.8171717171718,526.9829314376358,-0.3676846154851318,516.5559719889008,2739748148946.6714,2745912739111.193,402.5996756864811,0.0,0.0,0.0010626626249018,1.2697688716866313e-07,6.691465222496802e-05,0.0015361000370823,0.0352628795856435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,44.0,0.0,496.2818181818182,522.9570054007988,-4.02592603683695,516.5559719889008,2756970091418.028,2767051841326.293,402.5996756864811,0.0,0.0,0.0010592915357627,2.299766416233812e-06,0.0012026789581549,0.0275031669592089,0.6289493864152712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,45.0,0.0,498.4747474747475,524.6437789471612,1.6867735463623603,516.5559719889008,2753604482142.225,2758155538664.0776,402.5996756864811,0.0,0.0,0.0010559204466237,-7.576994107162175e-07,-0.0003975222821441,-0.0091052891254191,-0.2085575923198293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,46.0,0.0,499.89898989899,524.3681106938974,-0.2756682532638024,516.5559719889008,2754553372895.016,2759605542781.542,402.5996756864811,0.0,0.0,0.0010525493574846,1.283347485920097e-07,6.729464965556842e-05,0.0015409859272768,0.0352871682996981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,47.0,0.0,501.1050505050505,524.0070902108284,-0.3610204830689554,516.5559719889008,2756752995238.6104,2761506803555.9604,402.5996756864811,0.0,0.0,0.0010491782683455,1.7645585047423748e-07,9.24641167576822e-05,0.0021166146961017,0.0484518527711073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,48.0,0.0,502.85858585858585,524.0265571982823,0.0194669874538249,516.5559719889008,2755995048253.453,2761404216735.578,402.5996756864811,0.0,0.0,0.0010458071792064,-9.489373285725564e-09,-4.972683612888118e-06,-0.0001138328152501,-0.002605818273698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,49.0,0.0,501.9818181818182,521.8321439440205,-2.194413254261804,516.5559719889008,2769736763691.6567,2773016498738.331,402.5996756864811,0.0,0.0,0.0010424360900674,1.52734737157973e-06,0.0007970189534587,0.0182068185031116,0.4159101092473806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,50.0,0.0,505.269696969697,524.2983926740924,2.466248730071925,516.5559719889008,2760641117730.7715,2759972498386.545,402.5996756864811,0.0,0.0,0.0010390650009283,-1.158785512687927e-06,-0.0006075493817563,-0.0139114002620886,-0.3185371643249688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,51.0,0.0,505.269696969697,522.1201651244489,-2.178227549643452,516.5559719889008,2769626752562.5625,2771486798223.654,402.5996756864811,0.0,0.0,0.0010356939117892,1.4360187717443172e-06,0.0007497743582249,0.0171323057783991,0.3914723117224892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,52.0,0.0,508.119191919192,523.9750515266824,1.8548864022334328,516.5559719889008,2763088490829.223,2761675657099.633,402.5996756864811,0.0,0.0,0.0010323228226502,-9.106386360978002e-07,-0.0004771519262715,-0.0109222468069739,-0.250015705154182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,53.0,0.0,506.47575757575765,520.4467345038886,-3.528317022793772,516.5559719889008,2781136184498.771,2780398163335.873,402.5996756864811,0.0,0.0,0.0010289517335111,3.3479603119458403e-06,0.0017424350116008,0.0397506956141512,0.9068446118728986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,54.0,0.0,508.5575757575758,520.9425476841556,0.4958131802669641,516.5559719889008,2778855584970.6504,2777751886770.635,402.5996756864811,0.0,0.0,0.001025580644372,-4.164978656784652e-07,-0.0002169714592515,-0.0049521925751221,-0.1130296647572528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,55.0,0.0,509.7636363636363,521.8494990400759,0.9069513559203416,516.5559719889008,2781423585974.9565,2772924276808.852,402.5996756864811,0.0,0.0,0.001022209555233,-6.291414745207762e-07,-0.000328317163304,-0.0075000856361992,-0.1713321471964521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2023-11-08,56.0,0.0,509.7636363636363,519.2802218972096,-2.5692771428663264,516.5559719889008,2790626641369.77,2786644057888.276,402.5996756864811,0.0,0.0,0.0010188384660939,3.4975219191872315e-06,0.0018161939582858,0.0413869209452091,0.9431136016670736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
