index,datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
35,2024-07-15 13:22:21,60.0,10.0,26.041700000000002,390.7154,27.8501,132.4689,233.742,40.82393,0.0006427487412522783,14.46406,2001.0849999999998,56.713,1944.372,0.5,0.99,57.285858585858584,22853388109138.65,0.0010015875654528347,36.76205133494194,True,35.0,51.901142886305585
36,2024-07-15 13:23:21,60.0,10.0,26.2225,393.9706,27.578799999999998,134.5486,236.68079999999998,41.2037,0.0006382305836198424,14.46406,2004.5570000000002,58.738,1945.819,0.5,0.99,59.33131313131313,22501110763553.645,0.001001587648993982,37.80703430674705,True,36.0,52.71370267983938
37,2024-07-15 13:24:21,60.0,10.0,26.674599999999998,392.976,27.669300000000003,134.8199,236.22869999999998,41.42434,0.0006356293764728428,14.47667,2011.936,56.424,1955.512,0.5,0.99,56.99393939393939,23474833682190.406,0.00100158762112637,36.169598540924795,True,37.0,50.52716930036521
38,2024-07-15 13:25:21,60.0,10.0,26.041700000000002,378.87010000000004,27.578799999999998,123.8788,223.7956,41.68475,0.0006325814583237702,14.47667,1946.181,50.781,1895.3990000000001,0.5,0.99,51.2939393939394,24829703414774.254,0.001001587648993982,32.39616125216838,True,38.0,47.770077754949455
39,2024-07-15 13:26:21,60.0,10.0,26.2225,388.6357,27.669300000000003,131.5647,232.4309,41.98133,0.0006291391632486913,14.46406,1997.613,56.713,1940.9,0.5,0.99,57.285858585858584,23216792380100.414,0.00100158762112637,35.98364873575317,True,39.0,51.08874974368101
40,2024-07-15 13:27:21,60.0,10.0,26.3129,376.6095,27.7597,120.53309999999999,220.8116,42.22728,0.0006263076379589461,14.46406,1871.745,47.888,1823.857,0.5,0.99,48.37171717171717,26238872696989.484,0.0010015875932895782,30.247555110317087,True,40.0,45.204568901292504
41,2024-07-15 13:28:20,60.0,10.0,26.3129,389.35909999999996,28.031,134.0965,233.69680000000002,42.41898,0.0006241150966034196,14.50189,1993.2730000000001,53.818999999999996,1939.4530000000002,0.5,0.99,54.36262626262626,24796486544822.633,0.001001587509748649,33.87475923100222,True,41.0,47.83407623138499
42,2024-07-15 13:29:21,60.0,10.0,26.403399999999998,385.7422,27.669300000000003,123.5171,226.96040000000002,42.60706,0.0006219760176280485,14.50189,1923.394,50.202999999999996,1873.192,0.5,0.99,50.710101010101006,25905052334683.234,0.00100158762112637,31.490471741562448,True,42.0,45.7870874157589
43,2024-07-15 13:30:21,60.0,10.0,26.4938,388.81649999999996,27.7597,132.921,233.10909999999998,42.82769,0.0006194820345658518,14.5145,2003.472,55.266000000000005,1948.2060000000001,0.5,0.99,55.82424242424243,24266669442428.234,0.0010015875932895782,34.52729996533481,True,43.0,48.87843927397296
44,2024-07-15 13:31:21,60.0,10.0,26.8555,383.1199,28.031,127.31479999999999,227.1864,43.07726,0.0006166805724133403,14.53972,1963.9759999999999,53.53,1910.4460000000001,0.5,0.99,54.07070707070707,24528021313538.832,0.001001587509748649,33.291504000010484,True,44.0,48.35763197094306
