datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
2024-07-11 12:51:18,60.0,10.0,25.5896,252.82119999999998,19.259999999999998,184.4618,199.3815,34.84158,0.0007214080951236259,14.79193,2886.936,191.98499999999999,2694.951,0.0,0.99,193.9242424242424,5130671922697.802,0.0010015902107632013,139.6764034055043,True,102.55,231.18099283943806
2024-07-11 12:52:18,60.0,10.0,25.8608,251.1936,19.0791,179.9407,196.488,34.92477,0.0007202086931818236,14.79193,2865.017,189.525,2675.492,0.0,0.99,191.43939393939394,5130372074720.969,0.0010015902664748655,137.65740377836548,True,103.55,231.1944915051332
2024-07-11 12:53:18,60.0,10.0,25.8608,249.2947,18.8079,185.1852,198.4321,35.01881,0.000718856746858252,14.81715,2871.5280000000002,191.98499999999999,2679.5429999999997,0.0,0.99,193.9242424242424,5124364012905.423,0.0010015903499964402,139.1824013146067,True,104.55,231.46553624045814
2024-07-11 12:54:18,60.0,10.0,25.7704,263.21979999999996,19.259999999999998,190.7914,207.6099,35.12008,0.0007174055078933073,14.81715,2919.271,196.759,2722.512,0.0,0.99,198.74646464646463,5241872356127.9375,0.0010015902107632013,142.35543326951085,True,105.55,226.27674778003643
2024-07-11 12:55:18,60.0,10.0,25.7704,256.0764,18.7174,188.9829,203.8122,35.18157,0.0007165265963549423,14.79193,2928.6020000000003,198.206,2730.397,0.0,0.99,200.2080808080808,5114683445002.929,0.0010015903778678814,143.22663024134232,True,106.55,231.9036249039212
2024-07-11 12:56:18,60.0,10.0,25.7704,258.2465,19.1696,186.3607,203.13400000000001,35.19242,0.0007163717292439846,14.77932,2879.774,191.11700000000002,2688.6580000000004,0.0,0.99,193.04747474747478,5287891770174.835,0.0010015902386036318,138.07418241599015,True,107.55,224.30750242340892
2024-07-11 12:57:18,60.0,10.0,25.5896,257.43269999999995,18.9887,190.6105,205.0329,35.21774,0.0007160104533838643,14.81715,2907.9860000000003,195.312,2712.674,0.0,0.99,197.2848484848485,5225320816105.546,0.001001590294315351,141.03372867242285,True,108.55,226.99347500766726
2024-07-11 12:58:18,60.0,10.0,26.041700000000002,257.97520000000003,18.7174,185.6373,203.0888,35.32263,0.0007145170175992456,14.81715,2891.927,191.696,2700.231,0.0,0.99,193.63232323232324,5284428683316.184,0.0010015903778678814,138.1339050014544,True,109.55,224.45446844178485
2024-07-11 12:59:18,60.0,10.0,25.7704,256.8902,18.8079,186.5415,202.908,35.4022,0.0007133874804900192,14.79193,2889.1059999999998,190.538,2698.5679999999998,0.0,0.99,192.4626262626263,5320222306939.202,0.0010015903499964402,137.0824190133972,True,110.55,222.94438008565993
2024-07-11 13:00:18,60.0,10.0,25.8608,264.4857,18.9887,186.7224,206.6153,35.42752,0.0007130286686154375,14.81715,2912.544,194.155,2718.389,0.0,0.99,196.1161616161616,5319178964748.624,0.001001590294315351,139.6144175964969,True,111.55,222.98812240353925
2024-07-11 13:01:18,60.0,10.0,25.8608,255.8955,18.7174,183.28629999999998,200.8735,35.3805,0.0007136952309519875,14.81715,2880.4249999999997,190.538,2689.887,0.0,0.99,192.4626262626263,5264606856891.025,0.0010015903778678814,137.141551611681,True,112.55,225.29956431214038
2024-07-11 13:02:18,60.0,10.0,25.7704,251.01270000000002,19.0791,184.7331,198.7938,35.48539,0.0007122096645042656,14.81715,2904.08,190.683,2713.397,0.0,0.99,192.6090909090909,5216998263280.321,0.0010015902664748655,136.9602527185478,True,113.55,227.35559860076506
2024-07-11 13:03:18,60.0,10.0,25.4087,250.7415,19.4408,186.8128,199.3363,35.60113,0.000710576244155444,14.77932,2871.311,187.78900000000002,2683.5209999999997,0.0,0.99,189.6858585858586,5324063844303.273,0.0010015901550824897,134.57227417759438,True,114.55,222.78355963568177
2024-07-11 13:04:18,60.0,10.0,25.951200000000004,257.071,18.8079,188.8021,204.1287,35.61198,0.0007104233829815972,14.77932,2900.391,190.538,2709.8520000000003,0.0,0.99,192.4626262626263,5374559997625.247,0.0010015903499964402,136.5128468415293,True,115.55,220.69037552144636
2024-07-11 13:05:18,60.0,10.0,25.5896,253.81580000000002,18.9887,182.2917,199.065,35.62645,0.0007102196789312153,14.79193,2876.0849999999996,188.802,2687.283,0.0,0.99,190.7090909090909,5290945784597.163,0.001001590294315351,135.23029334794398,True,116.55,224.1780162500767
2024-07-11 13:06:18,60.0,10.0,25.8608,255.53379999999999,18.9887,185.366,201.46120000000002,35.75304,0.0007084415064299581,14.82976,2900.608,191.84,2708.767,0.0,0.99,193.77777777777777,5283064929276.92,0.001001590294315351,137.06225148215725,True,117.55,224.5124271527812
2024-07-11 13:07:18,60.0,10.0,25.8608,254.08710000000002,19.1696,180.0311,197.8895,35.77835,0.0007080868649484802,14.82976,2890.842,191.98499999999999,2698.857,0.0,0.99,193.9242424242424,5188079353603.775,0.0010015902386036318,137.09719160914452,True,118.55,228.62290940660162
2024-07-11 13:08:18,60.0,10.0,25.7704,287.81469999999996,19.6217,221.2637,234.4654,35.74219,0.0007085936772253372,14.81715,2804.904,220.341,2584.563,0.0,0.99,222.56666666666666,5352095689089.705,0.0010015900993711644,157.45895737201775,True,119.55,221.61673292846558
2024-07-11 13:09:18,60.0,10.0,25.951200000000004,358.7963,18.8079,294.0538,307.6172,35.88325,0.0007066200002343442,14.82976,2689.0190000000002,282.841,2406.1780000000003,0.0,0.99,285.6979797979798,5485548011762.368,0.0010015903499964402,201.55935662970163,True,120.55,216.2251905543693
2024-07-11 13:10:18,60.0,10.0,25.8608,361.8706,19.0791,297.03770000000003,310.375,35.92665,0.0007060145928126847,14.82976,2707.465,287.471,2419.994,0.0,0.99,290.3747474747475,5450253600795.09,0.0010015902664748655,204.6833080986362,True,121.55,217.6254262506643
2024-07-11 13:11:18,60.0,10.0,25.8608,359.158,18.8079,298.12280000000004,309.8325,35.9158,0.0007061658499464691,14.82976,2711.154,285.88,2425.275,0.0,0.99,288.7676767676768,5469834446573.715,0.0010015903499964402,203.59408604769257,True,122.55,216.84635535567946
2024-07-11 13:12:18,60.0,10.0,25.8608,365.3067,18.9887,301.378,314.3537,36.0243,0.000704655447845742,14.81715,2711.806,286.024,2425.7810000000004,0.0,0.99,288.9131313131313,5558747946363.556,0.001001590294315351,203.2609671733417,True,123.55,213.37785802172127
2024-07-11 13:13:18,60.0,10.0,25.951200000000004,361.9611,18.7174,297.309,310.9176,35.97005,0.0007054099782599409,14.81715,2712.0229999999997,285.735,2426.288,0.0,0.99,288.6212121212121,5497661075556.686,0.0010015903778678814,203.27300208412962,True,124.55,215.7487729474394
2024-07-11 13:14:18,60.0,10.0,25.8608,363.6791,19.1696,296.5856,310.96279999999996,36.03516,0.0007045045701515316,14.79193,2714.1929999999998,285.88,2428.313,0.0,0.99,288.7676767676768,5502734325069.833,0.0010015902386036318,203.1151464480046,True,125.55,215.54989319571834
2024-07-11 13:15:18,60.0,10.0,25.8608,368.1098,19.0791,299.93129999999996,314.94140000000004,36.13643,0.0007031000111661285,14.79193,2711.806,285.44599999999997,2426.3599999999997,0.0,0.99,288.3292929292929,5592762571497.584,0.0010015902664748655,202.40245523911054,True,126.55,212.08012102856745
2024-07-11 13:16:18,60.0,10.0,25.951200000000004,366.7535,18.9887,302.01099999999997,315.3935,36.08218,0.0007038518515637445,14.82976,2713.759,284.433,2429.326,0.0,0.99,287.3060606060606,5614734108644.239,0.001001590294315351,201.8998225829371,True,127.55,211.25020475174423
2024-07-11 13:17:18,60.0,10.0,25.7704,366.30129999999997,19.1696,296.3144,311.008,36.216,0.0007019996196352336,14.77932,2713.759,285.735,2428.0240000000003,0.0,0.99,288.6212121212121,5525975284225.917,0.0010015902386036318,202.29029129738996,True,128.55,214.64334077624594
2024-07-11 13:18:18,60.0,10.0,25.951200000000004,365.7588,19.0791,302.1014,314.851,36.16175,0.0007027495491025498,14.79193,2711.154,283.854,2427.2999999999997,0.0,0.99,286.7212121212121,5625319294806.969,0.0010015902664748655,201.17328340807586,True,129.55,210.8527002444491
2024-07-11 13:19:18,60.0,10.0,26.041700000000002,369.5566,19.0791,300.9259,316.16209999999995,36.23409,0.0007017498301286378,14.79193,2712.24,283.565,2428.675,0.0,0.99,286.42929292929296,5662556668136.734,0.0010015902664748655,200.68256889559262,True,130.55,209.46611796779428
2024-07-11 13:20:18,60.0,10.0,25.951200000000004,365.3067,18.9887,300.83549999999997,314.0824,36.30642,0.0007007525492773302,14.81715,2712.24,282.986,2429.253,0.0,0.99,285.84444444444443,5644840296364.188,0.001001590294315351,199.9881830705322,True,131.55,210.12352304132807
2024-07-11 13:21:18,60.0,10.0,25.951200000000004,366.4822,19.1696,302.01099999999997,315.077,36.27749,0.0007011511695390239,14.81715,2713.976,281.539,2432.436,0.0,0.99,284.38282828282826,5688583936087.254,0.0010015902386036318,199.07876990225836,True,132.55,208.50774276683242
2024-07-11 13:22:18,60.0,10.0,25.951200000000004,364.5833,19.4408,297.1282,311.4149,36.39323,0.0006995587019091078,14.81715,2715.4950000000003,281.68399999999997,2433.811,0.0,0.99,284.5292929292929,5632364350156.987,0.0010015901550824897,198.72893299389446,True,133.55,210.5889855879894
2024-07-11 13:23:18,60.0,10.0,25.951200000000004,370.732,18.9887,300.6546,316.7047,36.32089,0.0007005533157451899,14.82976,2715.929,279.36899999999997,2436.56,0.0,0.99,282.1909090909091,5767303383562.647,0.001001590294315351,197.37589127889763,True,134.55,205.66175406312635
2024-07-11 13:24:18,60.0,10.0,25.7704,369.4661,19.4408,299.56960000000004,315.077,36.44387,0.00069886378279996,14.77932,2710.069,277.922,2432.147,0.0,0.99,280.72929292929297,5781478780595.821,0.0010015901550824897,195.8800559328238,True,135.55,205.15752802594875
2024-07-11 13:25:18,60.0,10.0,26.041700000000002,363.58869999999996,19.259999999999998,299.84090000000003,312.4548,36.39685,0.000699508973265612,14.77932,2708.984,278.791,2430.1940000000004,0.0,0.99,281.6070707070707,5710220206631.089,0.0010015902107632013,196.6739199103572,True,136.55,207.71770371400243
2024-07-11 13:26:18,60.0,10.0,25.951200000000004,364.13120000000004,19.0791,297.7611,311.86699999999996,36.4945,0.0006981700905719263,14.81715,2711.589,277.488,2434.1,0.0,0.99,280.2909090909091,5737222215481.833,0.0010015902664748655,195.38002308591558,True,137.55,206.74007707885784
2024-07-11 13:27:18,60.0,10.0,25.951200000000004,368.1098,19.4408,297.48990000000003,313.359,36.44025,0.0006989134218654168,14.81715,2712.891,277.778,2435.113,0.0,0.99,280.5838383838384,5752526666972.086,0.0010015901550824897,195.7924702133586,True,138.55,206.19007327189692
2024-07-11 13:28:18,60.0,10.0,25.8608,368.2002,19.1696,300.47380000000004,315.1675,36.53067,0.0006976752319571146,14.82976,2711.589,278.067,2433.522,0.0,0.99,280.8757575757576,5789970690710.83,0.0010015902386036318,195.6489308352235,True,139.55,204.85661489723324
2024-07-11 13:29:18,60.0,10.0,25.951200000000004,362.594,19.259999999999998,300.83549999999997,312.4548,36.49812,0.0006981205525757741,14.81715,2707.248,277.778,2429.471,0.0,0.99,280.5838383838384,5742442109740.616,0.0010015902107632013,195.57034622682406,True,140.55,206.55216132013956
2024-07-11 13:30:18,60.0,10.0,25.7704,364.49289999999996,19.259999999999998,297.03770000000003,311.50530000000003,36.56684,0.0006971809429990809,14.81715,2711.589,275.174,2436.4150000000004,0.0,0.99,277.95353535353536,5786956678827.222,0.0010015902107632013,193.47623988861156,True,141.55,204.96331575495444
2024-07-11 13:31:18,60.0,10.0,25.8608,368.0194,19.0791,300.3834,315.1222,36.56684,0.0006971809274803559,14.81715,2708.767,276.62,2432.147,0.0,0.99,279.4141414141414,5823547476555.025,0.0010015902664748655,194.4929147003915,True,142.55,203.67546891691285
2024-07-11 13:32:18,60.0,10.0,25.7704,364.13120000000004,19.0791,298.4845,312.2287,36.61024,0.000696588576521648,14.81715,2706.814,274.161,2432.6530000000002,0.0,0.99,276.93030303030304,5826778278602.534,0.0010015902664748655,192.60019994256635,True,143.55,203.56253599059565
2024-07-11 13:33:18,60.0,10.0,25.951200000000004,364.8546,19.1696,303.3673,315.3031,36.58854,0.0006968846575410087,14.82976,2710.504,275.608,2434.896,0.0,0.99,278.3919191919192,5850772523344.656,0.0010015902386036318,193.69902959389853,True,144.55,202.72772378700535
2024-07-11 13:34:18,60.0,10.0,25.951200000000004,360.7856,19.4408,294.8676,308.3858,36.65726,0.0006959477712024405,14.82976,2708.984,275.318,2433.666,0.0,0.99,278.0989898989899,5736154142453.287,0.0010015901550824897,193.23509841998407,True,145.55,206.77859511882437
2024-07-11 13:35:18,60.0,10.0,25.8608,361.3281,19.0791,299.1175,311.1437,36.63194,0.0006962927075970805,14.82976,2713.3250000000003,272.28000000000003,2441.045,0.0,0.99,275.03030303030306,5849127907761.761,0.0010015902664748655,191.1975393313398,True,146.55,202.78471966278647
2024-07-11 13:36:18,60.0,10.0,25.7704,367.1152,19.4408,299.1175,313.6755,36.70428,0.0006953078919398175,14.82976,2711.806,270.978,2440.8280000000004,0.0,0.99,273.71515151515155,5933447478646.352,0.0010015901550824897,190.01415302081674,True,147.55,199.90299050091423
2024-07-11 13:37:18,60.0,10.0,26.041700000000002,365.3067,19.531200000000002,297.6707,311.95750000000004,36.6645,0.0006958491900587533,14.81715,2706.3799999999997,269.531,2436.849,0.0,0.99,272.25353535353537,5928014782733.419,0.0010015901272422002,189.146634849545,True,148.55,200.08619603744052
2024-07-11 13:38:18,60.0,10.0,25.951200000000004,367.56730000000005,18.9887,300.74510000000004,315.1675,36.73684,0.0006948653140937562,14.79193,2706.814,271.991,2434.824,0.0,0.99,274.7383838383838,5943249397937.059,0.001001590294315351,190.603058419177,True,149.55,199.57327223882032
