index,datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
16,2024-07-12 10:13:01,60.0,10.0,25.7704,292.607,27.578799999999998,35.9881,136.71880000000002,35.97728,0.0007053100334902204,14.62799,2349.609,101.562,2248.047,0.0,0.99,102.5878787878788,6802281910082.384,0.001001587648993982,72.24156597402711,True,22.9,174.3704360441208
17,2024-07-12 10:14:01,60.0,10.0,26.041700000000002,297.48990000000003,27.217200000000002,37.7062,140.3808,36.41493,0.0006992614331070855,14.65322,2394.748,103.009,2291.739,0.0,0.99,104.04949494949496,6945934144190.689,0.001001587760341675,72.64246013512803,True,23.9,170.76417747008318
18,2024-07-12 10:15:01,60.0,10.0,25.951200000000004,293.9634,27.8501,34.903099999999995,136.5831,36.83087,0.0006935906641977305,14.65322,2374.349,102.431,2271.9179999999997,0.0,0.99,103.46565656565656,6851726351012.268,0.0010015875654528347,71.6490658773133,True,24.9,173.11213275663968
19,2024-07-12 10:16:01,60.0,10.0,25.8608,296.6761,27.669300000000003,40.0571,140.6973,37.2215,0.0006883326222507373,14.69105,2397.135,105.75800000000001,2291.3770000000004,0.0,0.99,106.82626262626263,6888297201405.034,0.00100158762112637,73.41544556639822,True,25.9,172.19304874302074
20,2024-07-12 10:17:01,60.0,10.0,25.951200000000004,291.7028,27.307599999999997,36.3498,136.71869999999998,37.52893,0.0006842398624444405,14.71627,2352.431,104.311,2248.119,0.0,0.99,105.36464646464647,6826956489915.084,0.0010015877325047036,71.98040557384547,True,26.9,173.740196764371
21,2024-07-12 10:18:01,60.0,10.0,26.041700000000002,297.7611,27.8501,39.5146,140.7878,37.86892,0.0006797596081468951,14.70366,2370.009,104.311,2265.6969999999997,0.0,0.99,105.36464646464647,7076479520312.447,0.0010015875654528347,71.50910540803531,True,27.9,167.61398917130356
22,2024-07-12 10:19:01,60.0,10.0,26.041700000000002,296.3144,27.578799999999998,39.333800000000004,140.2452,38.2921,0.0006742493086112898,14.72888,2383.029,106.771,2276.259,0.0,0.99,107.84949494949495,6943075396975.4795,0.001001587648993982,72.60218062474398,True,28.9,170.834507036002
23,2024-07-12 10:20:01,60.0,10.0,26.041700000000002,295.9527,27.669300000000003,35.4456,138.0299,38.70804,0.0006689037776816073,14.70366,2331.3799999999997,104.45599999999999,2226.924,0.0,0.99,105.5111111111111,7040667402222.562,0.00100158762112637,70.46490923104308,True,29.9,168.46654272910592
24,2024-07-12 10:21:01,60.0,10.0,26.041700000000002,292.0645,27.7597,37.344500000000004,136.9448,39.03357,0.0006647681019735881,14.70366,2366.971,107.35,2259.621,0.0,0.99,108.43434343434343,6839290021285.944,0.0010015875932895782,71.96943448236176,True,30.9,173.4269090843857
25,2024-07-12 10:22:01,60.0,10.0,26.2225,296.5856,27.7597,35.536,138.3011,39.32653,0.0006610816624387594,14.71627,2365.017,106.337,2258.681,0.0,0.99,107.41111111111111,7011707897472.486,0.0010015875932895782,70.89496352936352,True,31.9,169.16234190971701
26,2024-07-12 10:23:01,60.0,10.0,26.3129,293.873,27.669300000000003,41.323100000000004,139.9287,39.73524,0.0006559940062099896,14.7541,2378.689,106.771,2271.919,0.0,0.99,107.84949494949495,7120185579745.878,0.00100158762112637,70.63647829441067,True,32.9,166.58510968197032
27,2024-07-12 10:24:01,60.0,10.0,25.951200000000004,297.5803,27.669300000000003,38.2487,140.2452,39.95587,0.0006532740362044796,14.71627,2376.953,105.75800000000001,2271.195,0.0,0.99,106.82626262626263,7234642484191.259,0.00100158762112637,69.67620434447579,True,33.9,163.94962133233088
28,2024-07-12 10:25:01,60.0,10.0,26.2225,289.804,27.8501,37.0732,135.5885,40.38628,0.0006480204690221434,14.7541,2361.1110000000003,105.613,2255.4979999999996,0.0,0.99,106.67979797979798,7060808749053.161,0.0010015875654528347,69.02111718090374,True,34.9,167.9859919513693
